申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明
買賣,房地(土地+建物),1,1,,5,1,3,有,透天厝,"6,700,000",,,,無,1110906,,鹽埕區,府北段五小段,35,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,130.13,住商用,鋼筋混凝土造,5,770531,34,一層;二層;三層;四層;五層;,,,府北路21巷1號,鹽埕區,府北段五小段,2160000,1853000,
買賣,房地(土地+建物),2,1,,3,2,2,有,華廈(10層含以下有電梯),"6,000,000",,,,無,1111014,,鹽埕區,大成段,25.96,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,115.78,無建物主要用途資料,鋼筋混凝土造,7,730721,38,二層;,,,公園二路26之12號2樓之1,鹽埕區,大成段,2110000,760000,
買賣,建物,0,1,,,,,無,公寓(5樓含以下無電梯),"5,850,000",,,,無,1110813,,鹽埕區,興福段,,-,無使用分區資料,無土地編定使用地類別資料,148.42,見其他登記事項,加強磚造,3,401007,71,一層;二層;,,,大安街56號,鹽埕區,興福段,,1326000,0304.其他增建
買賣,房地(土地+建物),1,1,,4,2,2,有,透天厝,"5,500,000",,,,無,1110912,,鹽埕區,大榮段,81,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,113.22,無建物主要用途資料,鋼筋混凝土造,2,681115,43,一層;二層;地下層;,,,光榮街37巷1號,鹽埕區,大榮段,3170000,202000,0302.頂樓加蓋
買賣,房地(土地+建物),2,1,,3,2,3,有,透天厝,"4,900,000",,,,無,1110923,,鹽埕區,興仁段,67,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,168.52,無建物主要用途資料,加強磚造,3,590225,53,一層;二層;三層;騎樓;地下層;,,,新興街129號,鹽埕區,興仁段,3040000,202000,0201.親友、員工、共有人或其他特殊關係間之交易
買賣,房地(土地+建物),1,1,,3,2,1,有,公寓(5樓含以下無電梯),"4,900,000",,,,無,1110812,,鹽埕區,興橋段,21.47,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,73.72,無建物主要用途資料,鋼筋混凝土造,5,680811,43,五層;,,,田單街5號5樓之1,鹽埕區,興橋段,2260000,486000,
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,有,住宅大樓(11層含以上有電梯),"4,850,000",,,,有,1110921,,鹽埕區,鹽中段,7.84,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,82.89,住家用,鋼筋混凝土造,13,890824,22,七層;,0,7.64,七賢三路196號七樓之3,鹽埕區,鹽中段,3840000,532000,0102.傢俱設備費
買賣,房地(土地+建物),2,1,,2,1,1,有,華廈(10層含以下有電梯),"4,650,000",,,,有,1111008,,鹽埕區,興橋段,15.27,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,106.3,無建物主要用途資料,鋼筋混凝土造,7,701228,41,二層;,,,大安街181號2樓之1,鹽埕區,興橋段,2310000,973000,
買賣,房地(土地+建物),2,3,,6,0,6,有,華廈(10層含以下有電梯),"4,020,000",,,,無,1110906,,鹽埕區,鹽國段,24.49,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,131.63,無建物主要用途資料,鋼筋混凝土造,7,680214,44,四層;,,,瀨南街163號四樓之1,鹽埕區,鹽國段,3360000,139000,0304.其他增建
買賣,土地,8,0,,,,,有,,"3,725,000",,,,無,1110907,,鹽埕區,大勇段,223,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,大勇段 174-0 地號,鹽埕區,大勇段,1740000,,0604.(包含)公共設施保留地(用地)
買賣,房地(土地+建物),1,1,,3,2,2,有,公寓(5樓含以下無電梯),"3,500,000",,,,無,1110917,,鹽埕區,鹽北段,16.36,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,83.67,住家用,鋼筋混凝土造,5,761222,35,五層;,,,北端街73號5樓之2,鹽埕區,鹽北段,1790000,553000,0301.陽台外推
買賣,建物,0,1,,4,2,2,有,住宅大樓(11層含以上有電梯),"3,300,000",,,,有,1110906,鹽埕示範市場綜合社區,鹽埕區,興仁段,,-,無使用分區資料,無土地編定使用地類別資料,181.25,住家用,鋼筋混凝土造,15,810918,30,十二層;,,,大仁路179號十二樓之1,鹽埕區,興仁段,,698000,0201.親友、員工、共有人或其他特殊關係間之交易
買賣,房地(土地+建物),1,1,,3,2,2,有,公寓(5樓含以下無電梯),"3,150,000",,,,無,1111109,,鹽埕區,興橋段,25.95,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,81.75,無建物主要用途資料,鋼筋混凝土造,5,680811,43,五層;,,,田單街32號5樓之1,鹽埕區,興橋段,1580000,628000,
買賣,房地(土地+建物),1,1,,2,1,1,有,公寓(5樓含以下無電梯),"3,100,000",,,,無,1111206,,鹽埕區,興橋段,21.58,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,56.36,無建物主要用途資料,鋼筋混凝土造,5,680811,43,三層;,,,大公路129號3樓之1,鹽埕區,興橋段,2030000,741000,0102.傢俱設備費0305.未登記建物
買賣,房地(土地+建物),1,2,,2,2,2,有,住宅大樓(11層含以上有電梯),"3,060,000",,,,有,1111106,,鹽埕區,鹽新段,9.7,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,103.33,無建物主要用途資料,鋼筋混凝土造,12,720523,39,四層;,,,莒光街219號4樓之1,鹽埕區,鹽新段,1940000,299000,0101.裝潢費0102.傢俱設備費0301.陽台外推
買賣,房地(土地+建物),1,1,,3,2,2,有,公寓(5樓含以下無電梯),"2,800,000",,,,無,1111019,,鹽埕區,興橋段,25.05,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,72.31,無建物主要用途資料,鋼筋混凝土造,5,680811,43,四層;,,,大仁路260巷11號4樓之1,鹽埕區,興橋段,2200000,367000,
買賣,房地(土地+建物),2,1,,3,1,1,有,公寓(5樓含以下無電梯),"2,600,000",,,,無,1110908,,鹽埕區,大成段,56.25,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,91.12,無建物主要用途資料,鋼筋混凝土造,4,580816,53,二層;,,,必忠街40之2號2樓,鹽埕區,大成段,590000,787000,
買賣,房地(土地+建物),2,1,,3,2,2,有,公寓(5樓含以下無電梯),"2,500,000",,,,無,1111130,,鹽埕區,大東段,14.75,其他-第三種商業區,無使用分區資料,無土地編定使用地類別資料,69.15,無建物主要用途資料,鋼筋混凝土造,5,721027,39,一層;騎樓;,,,新化街111號,鹽埕區,大東段,3160000,315000,
買賣,房地(土地+建物),2,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"2,250,000",,,,有,1110909,,鹽埕區,興仁段,4.58,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,59.7,無建物主要用途資料,鋼筋混凝土造,12,721212,39,九層;,,,七賢三路147號9樓之6,鹽埕區,興仁段,5000000,5000,
